pixel_id,lat,lon,land_cover_types,pgml_sm,era5_land_sm,esa_cci_sm,smap_ib_sm,smap_dca_sm,smap_scav_sm,smos_ic_sm,smos_l3_sm
CW3E_12,39.34115982,-123.1079712,1,2.4504636961515483e-46,4.053555667076069e-44,1.111542747278248e-53,1.1084194756744375e-64,6.317371846110532e-37,7.721196331624175e-36,1.100743985021862e-41,5.0148256845703304e-33
CW3E_16,39.94596863,-120.9697189,1,7.123935173375846e-08,4.67708886166853e-11,2.2730578525802015e-11,1.4242758693181313e-10,5.670607535863643e-05,0.002627663211224115,1.770841183896074e-05,1.6892830396648055e-06
CZ_1,48.681611,16.946416,12,2.143129203359655e-15,4.128734954053448e-66,1.1098008317453664e-09,1.0016335507105373e-13,4.5661847257800074e-10,5.656708934148401e-09,4.1475930747678015e-07,1.0998302580454631e-06
CZ_2,49.02470016,14.77040005,1,3.112606827356595e-23,1.748945694802805e-117,2.171762678803249e-33,4.335297733479764e-20,2.81669984752258e-26,1.6718006360051438e-27,1.7207987572392424e-18,2.5537836874497152e-15
CZ_3,49.035975,17.96990013,4,4.123470965763411e-16,7.204100124283977e-97,1.5580982268409563e-11,2.7909654193265533e-14,7.373209616931582e-17,5.0261926180428164e-15,0.0002834271972494008,8.180989249731998e-07
CZ_4,49.4437236,16.6965125,12,1.3906202810996716e-18,3.2498960589732566e-58,2.7867608879130145e-18,1.0582571753286936e-14,1.115561581834192e-13,2.5763841326516137e-12,1.4544005828585786e-12,1.0827049222832168e-07
CZ_5,49.5021,18.5369,5,2.0232091971557057e-12,5.7207875836362944e-114,1.2737953118744672e-09,7.564050305516582e-07,1.7097223710244303e-11,1.2296140371796184e-11,0.03282336678304947,0.029679143592940552
CZ_6,49.57325745,15.078773,12,1.3144925538958677e-30,8.549486407549105e-198,6.95634899496999e-29,5.075632818756702e-31,1.5190313883961881e-31,1.2477122167513391e-30,3.62185300866376e-22,4.8334381554401056e-18
DE_1,50.50490703,6.33101886,5,3.8557940882766265e-26,1.6622278334864159e-189,4.56379463101033e-30,2.5722641481660385e-18,1.378396433214772e-22,6.999055972521478e-21,2.245241235266638e-21,1.8900082873864453e-16
DE_3,50.7867012,13.72130013,1,1.0980305097976078e-28,2.6398338355705964e-171,1.8909137900942183e-22,8.526347307586788e-23,2.4432525139099214e-19,9.979691182722014e-19,3.977445365850974e-12,2.1378576762348815e-10
DE_7,51.07920074,10.45219994,4,3.6623371271635426e-40,5.1776937523726026e-154,9.525616890073634e-37,3.973879174651876e-33,3.178120913292875e-26,7.413004123519606e-25,1.2087428821158682e-25,6.214368838159565e-23
DE_9,52.085306,11.21922207,12,9.469193011625378e-53,4.368875753759226e-192,6.620836360522233e-39,1.0315025459509042e-43,9.740523369029316e-45,3.223762939527892e-39,7.983739970905641e-43,4.891887312329763e-38
ES_3,38.701839,-6.785881,12,1.3272239647675603e-92,3.1008512822357303e-242,1.0344492519937497e-88,1.1956638061680325e-80,5.893637909220748e-73,5.471927617899303e-68,9.038753778432704e-51,4.049654773610898e-56
ES_4,39.9386419,-5.777282,9,1.159423427765051e-104,1.3143549771519756e-266,6.022381569093162e-93,1.5052528201185519e-89,3.490013238351514e-79,5.193019063486925e-68,1.5929996218569053e-58,3.562843600650318e-50
FI_5,67.75489807,29.61,9,1.2358382765807117e-25,4.1003112082271607e-190,1.6795432812046687e-13,0.18736963474965088,1.3843814613639542e-06,8.323007665226054e-07,0.0026066719541973414,0.01720533359149923
FLUXNET-AMERIFLUX_3,38.42959937,-120.9649398,10,7.552986654664866e-89,1.7378444659363646e-82,5.657961612993861e-78,1.1312594150041316e-47,1.48995282977085e-81,2.961211530562857e-77,8.187428540709602e-78,1.731730142307526e-79
FMI_1,67.15287781,26.72913933,8,1.0683528923943711e-06,1.2860428438349699e-20,3.9330285685740024e-14,0.7407548976354104,7.193512124514356e-10,9.059475831049785e-10,9.62019922182857e-09,0.006333530967086397
FMI_2,67.3656133,26.65486225,8,0.00531583211559178,1.4178645005440252e-11,2.2829384682519505e-10,2.7740787091620634e-09,0.0004456138681591299,0.020670441411920867,0.8756919937341622,0.365511050054062
FMI_3,67.2572937,26.74856949,8,0.0001514539105012071,2.521054678534811e-21,6.055875976558542e-06,0.20001832746942083,0.037008251251677025,0.09424612136029718,0.3042399358133485,0.8080895039167697
FR_3,43.549653,1.106096,12,6.926750539957127e-50,4.302995356101237e-159,1.1992963672674413e-51,1.0382730772477181e-41,1.4858014383162578e-37,5.7347461863444136e-42,8.032818960010242e-40,1.33249261426726e-33
FR_5,44.48163033,-0.76275,8,3.330642904814197e-30,1.2518897992209943e-30,2.487716789435841e-28,4.319185117243329e-33,3.494530232159424e-23,1.1088599796199005e-21,2.2458586706271012e-20,2.8145239220587763e-20
FR_6,44.46699905,-0.726899981,8,4.3044239183391636e-20,1.7138335856255498e-21,1.7810931376190502e-25,7.085484454521937e-41,5.1120888774059924e-17,1.0847847494996334e-15,1.0919989970604671e-13,2.0948466853659963e-15
FR_8,47.32289886,2.284100056,5,2.3445809187604362e-43,7.102030957505794e-161,4.530916560403522e-34,2.5701934694644875e-38,3.1792223435011603e-40,6.011773461895025e-36,1.9742847303772838e-20,2.305153338196119e-19
FR_10,48.67409897,7.064650059,5,4.442964412394344e-54,8.632821943207977e-207,7.220637708289346e-34,1.0021800192756239e-38,3.6903628524660424e-38,2.621846909888124e-36,1.2471713372284603e-22,1.700439968295949e-14
HOAL_1,48.15416924,15.14937095,12,3.348615472516344e-17,1.9392213519631288e-24,8.780465499704544e-19,1.4497519984433752e-33,5.990546891391366e-16,3.5806399357627273e-16,8.028887304066362e-14,1.7148917075002786e-09
