pixel_id,lat,lon,land_cover_types,valid_number
USCRN_4,29.34830093,-103.2092972,7,251
USCRN_6,30.62220001,-98.08460236,9,128
USCRN_7,31.1923008,-84.44650269,8,129
USCRN_8,31.31270027,-84.47059631,8,172
USCRN_9,31.59070015,-110.5086975,7,164
USCRN_10,31.62190056,-102.8070984,10,223
USCRN_12,32.04079819,-100.2494965,10,167
USCRN_14,32.33779907,-89.07029724,8,129
USCRN_15,32.45669937,-87.24220276,8,118
USCRN_16,32.83499908,-114.1884003,16,169
USCRN_17,32.88330078,-92.11650085,4,157
USCRN_19,33.35499954,-81.32790375,8,91
USCRN_21,33.78369904,-83.38960266,8,188
USCRN_22,33.95569992,-102.7740021,10,179
USCRN_23,34.28509903,-85.96209717,9,181
USCRN_24,34.35570145,-106.8859024,7,143
USCRN_25,34.82229996,-89.43479919,8,163
USCRN_28,35.75519943,-112.3374023,7,87
USCRN_29,35.82009888,-91.78119659,8,191
USCRN_31,36.01380157,-85.1344986,8,97
USCRN_34,36.11809921,-97.09140015,10,173
USCRN_35,36.60200119,-117.1448975,16,166
USCRN_36,36.62400055,-116.0224991,7,117
USCRN_37,36.58374977,-101.6023522,10,170
USCRN_38,37.23809814,-120.8824997,12,188
USCRN_39,37.25040054,-86.23249817,4,136
USCRN_40,37.25529861,-108.5035019,10,59
USCRN_41,37.42770004,-94.582901,12,141
USCRN_42,37.63439941,-91.72260284,8,166
USCRN_44,37.86389923,-103.822403,10,158
USCRN_47,38.87009811,-100.9626999,10,121
USCRN_48,38.88819885,-86.5707016,8,136
USCRN_49,39.01179886,-114.2089996,10,36
USCRN_50,39.01300049,-79.47429657,4,147
USCRN_51,39.8667984,-93.14700317,14,135
USCRN_54,40.24459839,-108.9676971,10,37
USCRN_55,40.36669922,-81.78289795,14,41
USCRN_56,40.65069962,-122.6067963,1,196
USCRN_58,40.80659866,-104.7552032,10,129
USCRN_64,41.8429985,-88.8513031,12,113
USCRN_65,42.06800079,-101.4449997,10,100
USCRN_66,42.42470169,-103.7362976,10,130
USCRN_67,42.44010162,-76.24620056,4,150
USCRN_71,43.47109985,-119.6917038,10,80
USCRN_74,43.73460007,-96.62220001,12,32
USCRN_75,44.01940155,-100.3529968,10,61
USCRN_78,44.55599976,-119.6458969,10,121
USCRN_79,44.51689911,-104.4363022,8,134
USCRN_83,45.51599884,-103.3016968,10,102
USCRN_85,46.11349869,-92.99359894,8,163
USCRN_88,46.88470078,-110.2894974,10,98
USCRN_89,46.89459991,-103.3768997,10,83
USCRN_91,47.41740036,-117.5263977,12,175
USCRN_92,47.51390076,-123.8119965,1,169
USCRN_93,48.30820084,-105.101799,10,75
USCRN_94,48.30550003,-95.87439728,12,34
USCRN_96,48.48870087,-105.2096024,12,51
XMS-CAT_3,42.15595627,0.836225003,9,44
XMS-CAT_4,42.15539932,0.925499976,9,59
XMS-CAT_5,42.14570999,0.983179986,12,42
XMS-CAT_7,42.21120071,0.893899977,9,56
XMS-CAT_8,42.2179985,1.019600034,9,58
XMS-CAT_9,42.19747925,1.246880054,8,37
