land_cover_types,insitu_sm,pgml_sm,era5_land_sm,esa_cci_sm,smap_ib_sm,smap_dca_sm,smap_scav_sm,smos_ic_sm,smos_l3_sm
12.0,0.279169565309649,0.2853734791278839,0.4058868885040283,0.2584459781646728,0.1906959116458892,0.2859256863594055,0.2536202073097229,0.1399132013320922,0.1570177376270294
8.0,0.327087501684825,0.3216320872306824,0.3829688131809234,0.2739491760730743,0.2044060975313186,0.2681546211242676,0.2554296553134918,0.2022854685783386,0.2148197889328003
8.0,0.288565217152886,0.3165941834449768,0.3504577875137329,0.2794110774993896,0.2382695525884628,0.2924543917179107,0.2545163035392761,0.1499643176794052,0.1708121001720428
10.0,0.35692916624248,0.3317321836948395,0.3875170052051544,0.2947975397109985,0.2771853804588318,0.3446715474128723,0.3147627413272857,0.2422487288713455,0.236793115735054
16.0,0.350445237897691,0.3361662626266479,0.3752631247043609,0.2871181070804596,0.2573637664318084,0.3116558492183685,0.3107886016368866,0.2301559448242187,0.2964262962341308
16.0,0.354553492263306,0.3632839620113373,0.4008294343948364,0.2900378704071045,0.2708121538162231,0.3075959980487823,0.2835981249809265,0.2439935952425003,0.2620624303817749
16.0,0.36466808458592,0.3646210730075836,0.4023232460021972,0.2855878174304962,0.2801934480667114,0.3177078366279602,0.2974454462528229,0.2212423831224441,0.2421033382415771
16.0,0.360585416356723,0.3536065518856048,0.3886902928352356,0.2948332130908966,0.2944121956825256,0.3133006989955902,0.3102734982967376,0.2571563422679901,0.3194067180156708
16.0,0.351793477068777,0.3541178107261657,0.3786802887916565,0.2902027368545532,0.2858313620090484,0.3482174873352051,0.3172028064727783,0.2184290587902069,0.2897427380084991
16.0,0.350902129995062,0.3612223267555237,0.3700111806392669,0.28716641664505,0.3001827895641327,0.3278768360614776,0.3027555048465729,0.2504249215126037,0.3200476169586181
16.0,0.374710254944288,0.3665098249912262,0.3829470872879028,0.2973377406597137,0.2934653162956238,0.3091023862361908,0.2946255803108215,0.2131316661834716,0.1718497276306152
16.0,0.366095835343003,0.360914409160614,0.3736214935779571,0.2939761877059936,0.2952548861503601,0.2994076013565063,0.2808343172073364,0.2403899729251861,0.252082884311676
16.0,0.3600437498341,0.3618990480899811,0.3666699230670929,0.2934403717517853,0.2985928654670715,0.3281041979789734,0.3044570386409759,0.0850612819194793,0.206305131316185
16.0,0.384526191722779,0.3949149549007416,0.420144259929657,0.3113305568695068,0.323283314704895,0.3785030245780945,0.3581703901290893,0.2523163259029388,0.3247779905796051
12.0,0.369208335876465,0.3708762526512146,0.4000757038593292,0.3053956925868988,0.3039803504943847,0.3517839014530182,0.3249623775482178,0.2561488449573517,0.2623676359653473
10.0,0.367116669813792,0.3961371183395386,0.4062117636203766,0.3076382279396057,0.3199065625667572,0.3634588718414306,0.3229726254940033,0.2427259236574173,0.3156224191188812
10.0,0.381088636815548,0.3972817063331604,0.4091419875621795,0.308886855840683,0.3181739747524261,0.3371215760707855,0.3116985261440277,0.2126324474811554,0.2687765061855316
10.0,0.367541667694847,0.3851981163024902,0.3926030695438385,0.3080722093582153,0.3386377990245819,0.3897792398929596,0.3474955856800079,0.2806371450424194,0.3310647904872894
12.0,0.39216976942018,0.3814934492111206,0.4182058572769165,0.3170034289360046,0.3517257869243622,0.3932029604911804,0.3525466322898865,0.3035120666027069,0.5688344836235046
10.0,0.373480004072189,0.3869139552116394,0.398199051618576,0.3111284971237182,0.3695660233497619,0.3663223385810852,0.3496424555778503,0.3009718954563141,0.2803125083446502
10.0,0.380550002058347,0.3825449645519256,0.3908324837684631,0.3116917312145233,0.3564813435077667,0.3584774136543274,0.3771071135997772,0.3201916515827179,0.2964262962341308
12.0,0.405589582398534,0.4233213365077972,0.4275455176830292,0.326038509607315,0.4100203216075897,0.5227705836296082,0.5020077228546143,0.4095546901226043,0.5445722937583923
12.0,0.386143751442432,0.4136188924312591,0.4010506868362427,0.3200584650039673,0.402074933052063,0.4739745855331421,0.5406513214111328,0.4154726266860962,0.4411145448684692
10.0,0.399641665319602,0.4126374125480652,0.4181509912014007,0.3209003806114197,0.4115582704544067,0.4476914405822754,0.4794280230998993,0.3133796453475952,0.3767204880714416
10.0,0.406968749438723,0.4374679028987884,0.4185839295387268,0.3252655267715454,0.443996787071228,0.5266165733337402,0.5406513214111328,0.4007331430912018,0.4553666710853576
10.0,0.400490000844002,0.416104793548584,0.4243132174015045,0.3231943547725677,0.4211073517799377,0.4797948896884918,0.5019574165344238,0.3499500751495361,0.4631794095039367
12.0,0.391541308035021,0.4031691551208496,0.4072701036930084,0.3155831098556518,0.4150188267230987,0.4743450284004211,0.5217291712760925,0.3381763398647308,0.3216955959796905
10.0,0.394330434825109,0.4060808718204498,0.4092530906200409,0.3195866346359253,0.4325773119926452,0.5204682946205139,0.5254462957382202,0.3587002158164978,0.3989074230194092
12.0,0.387791489032989,0.3900032043457031,0.3960345685482025,0.321509450674057,0.4205664396286011,0.4448949992656708,0.479320079088211,0.1383062452077865,0.1993774175643921
10.0,0.396858138400455,0.4059398174285888,0.4092865288257599,0.31370410323143,0.3895862996578216,0.4011958837509155,0.4254086315631866,0.320304811000824,0.3401898145675659
10.0,0.412016666183869,0.4208095967769623,0.4292593598365783,0.321706473827362,0.4168456792831421,0.4465775787830353,0.4838632643222809,0.373803436756134,0.4486831128597259
10.0,0.390516667937239,0.3975473344326019,0.3781102001667022,0.3105703294277191,0.4112275242805481,0.4035854935646057,0.4464087188243866,0.1844601780176162,0.3768730759620666
