pixel_id,lat,lon,land_cover_types,koppen_climate_5_types,valid_number,site_number,site_ids
RSMN_4,44.47616959,23.11289978,12,400,185.0,1,['RSMN_Bacles']
RSMN_5,44.44210815,24.35445976,12,400,119.0,1,['RSMN_Slatina']
RSMN_6,44.55278015,27.38372993,12,400,74.0,1,['RSMN_Slobozia']
RSMN_7,44.73443985,28.34225082,12,200,80.0,1,['RSMN_Corugea']
RSMN_8,45.38290024,21.13625908,12,300,115.0,1,['RSMN_Banloc']
RSMN_9,45.84164047,27.40900993,12,400,145.0,1,['RSMN_Tecuci']
RSMN_10,46.07155991,20.6015892,12,300,123.0,1,['RSMN_SannicolauMare']
RSMN_11,46.2278595,24.59160995,9,400,127.0,1,['RSMN_Dumbraveni']
RSMN_12,46.23313141,27.64438057,12,400,155.0,1,['RSMN_Barlad']
RSMN_13,46.51868057,21.54177094,12,300,73.0,1,['RSMN_ChisineuCris']
RSMN_14,47.03580093,21.89612007,12,400,131.0,1,['RSMN_Oradea']
RSMN_15,47.12796021,23.8989296,9,400,95.0,1,['RSMN_Dej']
RSMN_17,47.35829926,26.92546082,12,400,165.0,1,['RSMN_Cotnari']
RSMN_18,47.72143936,22.88736916,12,400,135.0,1,['RSMN_SatuMare']
RSMN_19,48.19477081,26.57324982,12,400,121.0,1,['RSMN_Darabani']
RU_1,56.45455742,32.91198985,5,400,148.0,4,"['RU-Fy2', 'RU-Fyo', 'Ru_CFR_Fyodorovskoyedrysprucestand', 'Ru_CFR_Fyodorovskoyewetsprucestand']"
SD_1,13.28289986,30.47830009,10,200,93.0,1,['SD_DEM_Demokeya']
SE_1,56.09762955,13.41897011,5,400,83.0,1,['SE-Htm']
SE_3,64.18199921,19.55649948,8,400,270.0,1,['SE-Deg']
SE_4,64.21430588,19.75625043,8,400,302.0,2,"['SE-Ros', 'SE-Svb']"
SMAPVEX_1,41.71343,-73.63094,4,400,35.0,1,['SMAPVEX_519']
SMAPVEX_3,41.802,-73.6272,4,400,38.0,1,['SMAPVEX_511']
SMAPVEX_4,41.75792,-73.51630667,4,400,35.0,3,"['SMAPVEX_521', 'SMAPVEX_522', 'SMAPVEX_523']"
SMAPVEX_7,41.84381,-73.61859333,8,400,37.0,3,"['SMAPVEX_508', 'SMAPVEX_518', 'SMAPVEX_520']"
SMAPVEX_8,41.8385,-73.50703,8,400,33.0,1,['SMAPVEX_507']
SMAPVEX_10,41.9450425,-73.59694,4,400,38.0,4,"['SMAPVEX_503', 'SMAPVEX_504', 'SMAPVEX_505', 'SMAPVEX_506']"
SMAPVEX_11,41.941017,-73.49616,4,400,33.0,2,"['SMAPVEX_501', 'SMAPVEX_502']"
SMAPVEX_18,42.64611,-72.168315,5,400,37.0,2,"['SMAPVEX_408', 'SMAPVEX_412']"
SMAPVEX_19,42.65067,-72.138575,5,400,30.0,2,"['SMAPVEX_409', 'SMAPVEX_410']"
SMAPVEX_20,42.62835,-72.02762,5,400,33.0,1,['SMAPVEX_419']
SMAPVEX_21,42.66071,-72.14417,5,400,33.0,1,['SMAPVEX_418']
SMOSMANIA_1,42.95999908,2.529999971,8,300,188.0,1,['SMOSMANIA_Mouthoumet']
SMOSMANIA_2,43.19219971,1.643599987,12,300,159.0,1,['SMOSMANIA_Montaut']
SMOSMANIA_4,43.44169998,1.879999995,12,300,178.0,1,['SMOSMANIA_SaintFelixdeLauragais']
SMOSMANIA_6,43.54719925,0.887799978,12,300,181.0,1,['SMOSMANIA_Lahas']
SMOSMANIA_7,43.63970184,-0.435000002,14,300,106.0,1,['SMOSMANIA_Urgons']
SMOSMANIA_8,43.66640091,0.221699998,12,300,189.0,1,['SMOSMANIA_PeyrusseGrande']
SMOSMANIA_12,43.99359894,-0.0469,14,300,161.0,1,['SMOSMANIA_CreondArmagnac']
SMOSMANIA_13,43.97439957,0.336100012,12,300,192.0,1,['SMOSMANIA_Condom']
SMOSMANIA_14,44.14749908,-0.845600009,8,300,192.0,1,['SMOSMANIA_Sabres']
SMOSMANIA_15,44.24300003,4.010169983,5,300,185.0,1,['SMOSMANIA_LaGrandCombe']
SMOSMANIA_16,44.22200012,4.344830036,8,300,158.0,1,['SMOSMANIA_Mejannes-le-Clap']
SMOSMANIA_17,44.66600037,4.159830093,8,300,133.0,1,['SMOSMANIA_Barnas']
SMOSMANIA_19,44.7338295,4.08382988,8,400,158.0,1,['SMOSMANIA_Mazan-Abbaye']
SOILSCAPE_3,31.74338605,-110.0526128,10,200,156.0,14,"['SOILSCAPE_Lucky-Hills-1502', 'SOILSCAPE_Lucky-Hills-1503', 'SOILSCAPE_Lucky-Hills-1504', 'SOILSCAPE_Lucky-Hills-1505', 'SOILSCAPE_Lucky-Hills-1506', 'SOILSCAPE_Lucky-Hills-1507', 'SOILSCAPE_node1500', 'SOILSCAPE_node1501', 'SOILSCAPE_node1502', 'SOILSCAPE_node1503', 'SOILSCAPE_node1505', 'SOILSCAPE_node1506', 'SOILSCAPE_node1507', 'US-Whs']"
SOILSCAPE_4,31.73692998,-109.9442413,10,200,154.0,13,"['SOILSCAPE_Kendall-1402', 'SOILSCAPE_Kendall-1403', 'SOILSCAPE_Kendall-1404', 'SOILSCAPE_Kendall-1406', 'SOILSCAPE_Kendall-1408', 'SOILSCAPE_Kendall-1409', 'SOILSCAPE_node1401', 'SOILSCAPE_node1402', 'SOILSCAPE_node1403', 'SOILSCAPE_node1407', 'SOILSCAPE_node1408', 'SOILSCAPE_node1409', 'US-Wkg']"
SOILSCAPE_6,32.60226186,-106.7574955,7,200,205.0,9,"['SOILSCAPE_JR-2-2401', 'SOILSCAPE_JR-2-2402', 'SOILSCAPE_JR-2-2403', 'SOILSCAPE_JR-2-2404', 'SOILSCAPE_JR-3-2501', 'SOILSCAPE_JR-3-2502', 'SOILSCAPE_JR-3-2503', 'SOILSCAPE_JR-3-2504', 'USCRN_Las-Cruces-20-N']"
SOILSCAPE_10,38.15317211,-120.7905365,10,300,55.0,20,"['SOILSCAPE_node501', 'SOILSCAPE_node502', 'SOILSCAPE_node503', 'SOILSCAPE_node504', 'SOILSCAPE_node505', 'SOILSCAPE_node506', 'SOILSCAPE_node507', 'SOILSCAPE_node509', 'SOILSCAPE_node510', 'SOILSCAPE_node511', 'SOILSCAPE_node512', 'SOILSCAPE_node513', 'SOILSCAPE_node514', 'SOILSCAPE_node515', 'SOILSCAPE_node517', 'SOILSCAPE_node518', 'SOILSCAPE_node708', 'SOILSCAPE_node710', 'SOILSCAPE_node712', 'SOILSCAPE_node713']"
SOILSCAPE_11,38.39255397,-120.9053593,10,300,52.0,12,"['SOILSCAPE_node901', 'SOILSCAPE_node902', 'SOILSCAPE_node903', 'SOILSCAPE_node904', 'SOILSCAPE_node905', 'SOILSCAPE_node906', 'SOILSCAPE_node909', 'SOILSCAPE_node911', 'SOILSCAPE_node912', 'SOILSCAPE_node913', 'SOILSCAPE_node914', 'SOILSCAPE_node915']"
TAHMO_2,9.400830269,-1.001909971,12,100,31.0,1,"['TAHMO_CSIR-SARI,Nyankpala-Tamale']"
TERENO_1,50.51490021,6.375589848,5,300,178.0,1,['TERENO_Schoeneseiffen']
TWENTE_1,52.06747055,6.656770229,9,300,51.0,1,['TWENTE_Hupsel']
TWENTE_2,52.19593811,6.304840088,9,300,73.0,1,['TWENTE_ITCSM-14c']
TWENTE_3,52.19388962,6.417500019,9,300,163.0,1,['TWENTE_ITCSM-13']
TWENTE_4,52.14035034,6.559649944,9,300,115.0,1,['TWENTE_ITCSM-12b']
TWENTE_5,52.19104004,6.668270111,9,300,127.0,1,['TWENTE_ITCSM-10c']
TWENTE_8,52.25393422,6.570563316,9,300,107.0,3,"['TWENTE_ITCSM-11c', 'TWENTE_ITCSM-11d', 'TWENTE_ITCSM-15b']"
TWENTE_11,52.40528107,6.379909992,9,300,120.0,1,['TWENTE_ITCSM-18']
TWENTE_12,52.3678093,6.535250187,9,300,146.0,1,['TWENTE_ITCSM-16b']
TWENTE_13,52.41945076,6.540570021,14,300,134.0,2,"['TWENTE_ITCSM-17b', 'TWENTE_ITCSM-17c']"
US_1,27.3836,-81.9509,9,300,110.0,1,['US-ONA']
US_2,31.7894,-110.8277,10,200,165.0,1,['US-SRG']
US_3,31.8173,-110.8508,7,200,128.0,1,['US-SRS']
US_6,32.582,-106.635,7,200,82.0,1,['US-Jo1']
US_7,32.5849,-106.6032,7,200,113.0,1,['US-Jo2']
US_10,34.3349,-106.7442,7,200,87.0,1,['US-Ses']
US_11,34.3623,-106.702,10,200,79.0,1,['US-Seg']
US_12,34.4385,-106.2377,10,200,78.0,1,['US-Mpj']
US_13,34.4255,-105.8615,10,200,91.0,1,['US-Wjs']
US_28,39.2322,-92.1493,12,400,76.0,1,['US-Mo3']
US_29,39.22980118,-92.11669922,12,400,78.0,1,['US-Mo1']
US_30,39.3232,-86.4131,4,400,66.0,1,['US-MMS']
US_31,40.0341502,-105.5436506,8,400,70.0,2,"['US-NR1', 'USCRN_Boulder-14-W']"
US_35,41.1651,-96.4766,12,400,54.0,1,['US-Ne1']
US_36,41.3665,-106.2399,8,400,64.0,1,['US-GLE']
US_37,43.0926,-116.73585,10,400,36.0,2,"['US-Rms', 'US-Rwf']"
US_38,43.17193304,-116.7331012,10,200,132.0,3,"['US-Rls', 'US-Rws', 'USCRN_Murphy-10-W']"
US_40,44.06425,-71.2877,4,400,67.0,2,"['US-Bar', 'US-xBR']"
US_41,44.3233,-121.6078,8,400,112.0,1,['US-Me6']
US_42,44.4526,-121.5589,1,400,124.0,1,['US-Me2']
US_46,45.2091,-68.747,5,400,119.0,1,['US-Ho2']
US_54,46.758,-116.949,12,400,41.0,1,['US-RC4']
US_56,46.991,-118.598,10,200,45.0,1,['US-RC3']
US_58,64.696675,-148.3216,8,400,34.0,4,"['US-BZB', 'US-BZF', 'US-BZS', 'US-BZo']"
US_60,68.60655,-149.29995,7,400,67.0,2,"['US-ICh', 'US-ICt']"
USCRN_1,26.5258007,-98.06330109,10,200,140.0,1,['USCRN_Edinburg-17-NNE']
USCRN_2,27.15259933,-81.36889648,9,300,61.0,1,['USCRN_Sebring-23-SSE']
USCRN_4,29.34830093,-103.2092972,7,200,251.0,1,['USCRN_Panther-Junction-2-N']
USCRN_6,30.62220001,-98.08460236,9,300,128.0,1,['USCRN_Austin-33-NW']
USCRN_7,31.1923008,-84.44650269,8,300,129.0,1,['USCRN_Newton-11-SW']
USCRN_8,31.31270027,-84.47059631,8,300,172.0,1,['USCRN_Newton-8-W']
USCRN_9,31.59070015,-110.5086975,7,200,164.0,1,['USCRN_Elgin-5-S']
USCRN_10,31.62190056,-102.8070984,10,200,223.0,1,['USCRN_Monahans-6-ENE']
USCRN_12,32.04079819,-100.2494965,10,200,167.0,1,['USCRN_Bronte-11-NNE']
USCRN_14,32.33779907,-89.07029724,8,300,129.0,1,['USCRN_Newton-5-ENE']
USCRN_15,32.45669937,-87.24220276,8,300,118.0,1,['USCRN_Selma-13-WNW']
USCRN_16,32.83499908,-114.1884003,16,200,169.0,1,['USCRN_Yuma-27-ENE']
USCRN_17,32.88330078,-92.11650085,4,300,157.0,1,['USCRN_Monroe-26-N']
USCRN_19,33.35499954,-81.32790375,8,300,91.0,1,['USCRN_Blackville-3-W']
USCRN_21,33.78369904,-83.38960266,8,300,188.0,1,['USCRN_Watkinsville-5-SSE']
USCRN_22,33.95569992,-102.7740021,10,200,179.0,1,['USCRN_Muleshoe-19-S']
USCRN_23,34.28509903,-85.96209717,9,300,181.0,1,['USCRN_Gadsden-19-N']
USCRN_24,34.35570145,-106.8859024,7,200,143.0,1,['USCRN_Socorro-20-N']
USCRN_25,34.82229996,-89.43479919,8,300,163.0,1,['USCRN_Holly-Springs-4-N']
USCRN_28,35.75519943,-112.3374023,7,200,87.0,1,['USCRN_Williams-35-NNW']
USCRN_29,35.82009888,-91.78119659,8,300,191.0,1,['USCRN_Batesville-8-WNW']
USCRN_31,36.01380157,-85.1344986,8,300,97.0,1,['USCRN_Crossville-7-NW']
