observation,prediction,fold,y_pred
0.0216583334064732,,2.0,0.00097310054
0.018602083340132,,3.0,0.0014700524
0.01653958321549,,1.0,0.005558332
0.0153416666435078,,4.0,0.00054631446
0.0155187501998929,,3.0,0.000363021
0.0145770834642462,,1.0,0.002158868
0.0142395832032586,,2.0,0.00046640617
0.0141749999214274,,1.0,0.001981518
0.0138750001012037,,2.0,0.0005900433
0.0139270834042691,,2.0,0.00046338633
0.0138166667117427,,2.0,0.0006473159
0.0136437501641922,,2.0,0.00045823402
0.0135375000342416,,3.0,0.0004398618
0.0134958333995504,,2.0,0.00042963217
0.013247916707769,,5.0,0.001390544
0.0132041667044784,,1.0,0.002356605
0.0132187500712462,,5.0,0.0016968845
0.0131895834153208,,3.0,0.0006580367
0.0131000000983477,,2.0,0.00056763453
0.0130479168146849,,5.0,0.0023139392
0.0130000001906107,,2.0,0.00061010075
0.0129645835064972,,1.0,0.0016107186
0.0129125001840293,,5.0,0.00195969
0.0128895834592792,,5.0,0.0021150904
0.0128750001216152,,1.0,0.0019999852
0.0129562501291124,,5.0,0.0026441743
0.121033333862821,,5.0,0.021212416
0.084524999683102,,4.0,0.028283719
0.080383333687981,,3.0,0.035974704
0.0674750003963709,,2.0,0.035198577
0.0556416663651665,,3.0,0.020616487
0.0457916674204171,,4.0,0.012789398
0.0421041664667428,,4.0,0.017447945
0.0385416668529312,,4.0,0.02068788
0.0363083331224819,,3.0,0.015854256
0.0351708334249755,,4.0,0.018821983
0.0336666667523483,,5.0,0.014854597
0.20647916632394,,4.0,0.07828465
0.169162500649691,,5.0,0.11204293
0.167960869229358,,1.0,0.061110906
0.145195834338665,,2.0,0.114890985
0.115845832973719,,2.0,0.11232559
0.205220833420753,,4.0,0.11190084
0.162300000588099,,4.0,0.06655898
0.150704169025024,,4.0,0.07494254
0.11337083298713,,5.0,0.043004464
0.0690458336224159,,1.0,0.046682682
0.0588083329300086,,4.0,0.09102592
0.0505208337369064,,2.0,0.052046422
0.0448958333581686,,5.0,0.027549753
0.0419083338541289,,5.0,0.060650047
0.041341666597873,,1.0,0.04507216
0.158187500511607,,4.0,0.11007081
0.09679999978592,,4.0,0.03547366
0.0921374997124076,,3.0,0.17146239
0.0734250005334616,,4.0,0.117238685
0.261487500121196,,3.0,0.15073062
0.227269565929537,,3.0,0.16141969
0.211850001166264,,4.0,0.12956804
0.176933333277702,,2.0,0.15890369
0.149137500052651,,4.0,0.10474193
0.142745833843946,,4.0,0.18366031
0.132462499042352,,1.0,0.14059131
0.169416667893529,,3.0,0.20224334
0.135754167412718,,3.0,0.16740742
0.242737500617901,,5.0,0.20224999
0.215104168280959,,2.0,0.22476181
0.202487499763568,,4.0,0.19674718
0.227683333059152,,1.0,0.25233996
0.2056416682899,,4.0,0.18976183
0.223137499764562,,3.0,0.22685139
0.245754164954027,,5.0,0.23024495
0.224962500234445,,3.0,0.2346798
0.255616665507356,,1.0,0.26871598
0.262858331824342,,4.0,0.22608763
0.224933333694935,,4.0,0.2438468
0.262829165905714,,2.0,0.23445313
0.239137499282757,,4.0,0.25638473
0.259250001981854,,5.0,0.22891939
0.249166664356987,,1.0,0.27771682
0.278287498901288,,1.0,0.28161147
0.257629167909424,,3.0,0.3433626
0.21882499816517,,5.0,0.23160948
0.226708334560196,,3.0,0.23321824
0.262141669169068,,4.0,0.23998998
0.248204167932272,,5.0,0.23870564
0.245437496652206,,5.0,0.21595664
0.265958332767089,,5.0,0.21226458
0.223283333703876,,5.0,0.22092065
0.193479164193074,,5.0,0.21474628
0.224929166957736,,3.0,0.1990216
0.257745834067464,,1.0,0.24982291
0.236170834551255,,5.0,0.22862855
0.243908333281676,,4.0,0.24603224
0.229636363685131,,3.0,0.24194895
0.234491664295395,,4.0,0.23964258
0.212470832591256,,2.0,0.20703991
0.171220833435655,,2.0,0.15322676
0.145179165527225,,1.0,0.14973038
0.130533333246907,,4.0,0.14992894
0.102720833693941,,2.0,0.13332823
0.0880000001440446,,1.0,0.17456482
0.0698208324611187,,2.0,0.11430151
0.0625708336010575,,4.0,0.07724591
0.0564916663182278,,3.0,0.067784175
0.0535291666164994,,4.0,0.042005286
0.0512833337609967,,2.0,0.04805951
0.0484833335503936,,5.0,0.037511446
0.0465625007636845,,2.0,0.036525276
0.0455333335946004,,5.0,0.0291227
0.0441208332777023,,3.0,0.039842006
0.0432333328450719,,4.0,0.02367451
0.0428083331013719,,1.0,0.04080505
0.0419666666227082,,4.0,0.02180621
0.0410500004266699,,2.0,0.019063191
0.0405333332406978,,1.0,0.033518825
0.0394708335710069,,3.0,0.020589575
0.0394583336698512,,1.0,0.03147629
0.039150000239412,,5.0,0.012519717
0.0376124992035329,,5.0,0.011016505
0.0374791660966972,,5.0,0.011331732
0.0368666665938993,,4.0,0.008576042
0.0362541661597788,,3.0,0.014058457
0.0356125004279117,,3.0,0.013812936
0.0348166671271125,,2.0,0.013809612
0.0344416672984759,,5.0,0.012995164
0.0341916671022773,,3.0,0.008890742
0.0346958340766529,,1.0,0.017939769
0.0339416669060787,,4.0,0.011603404
0.0334499996776382,,3.0,0.0049336664
0.033012500188003,,4.0,0.011404956
0.0325708334955076,,1.0,0.012758413
0.0319666664581746,,2.0,0.0069628786
0.0311416663074245,,5.0,0.011171908
0.0300166665886839,,4.0,0.010292711
0.02993749997889,,3.0,0.0061215395
0.0294791667256504,,4.0,0.008477327
0.0290333332959563,,3.0,0.0063974955
0.028516666808476,,2.0,0.009479063
0.0286416669065754,,5.0,0.01030904
0.0284041667667528,,2.0,0.008913208
0.0277874999834845,,5.0,0.012224255
0.0272249998524785,,4.0,0.006069399
0.0271708332002163,,1.0,0.013294207
0.0280333335200946,,4.0,0.06076997
0.0291208333801478,,1.0,0.019137911
0.0279416666987042,,2.0,0.0072476766
0.0273333330017825,,2.0,0.006779845
0.0269041665208836,,4.0,0.026054464
0.097970833381017,,2.0,0.063984066
0.108916667290032,,5.0,0.0643952
0.128558333342274,,1.0,0.08681627
0.0885041669631998,,3.0,0.034729294
0.0707708336412907,,1.0,0.062356513
0.066175000431637,,3.0,0.028401617
0.0531875000645717,,4.0,0.028194355
0.125329166961213,,5.0,0.10526394
0.0907208326583107,,5.0,0.061473437
0.20022499995927,,1.0,0.13538545
0.154850001136462,,5.0,0.081726804
0.12325833303233,,4.0,0.09793273
0.0931833336750666,,3.0,0.07023102
0.129066665967306,,4.0,0.096703336
0.0887458327536782,,1.0,0.07669265
0.0572666662434737,,4.0,0.04662425
0.0477291665350397,,5.0,0.030389836
0.15854166696469,,2.0,0.17662735
0.104970833907525,,4.0,0.056178205
0.0798291669537624,,4.0,0.08465973
0.103966666385531,,1.0,0.08062109
0.0587874995544553,,1.0,0.039265633
0.0534291667863727,,2.0,0.03619517
0.151485714884031,,4.0,0.10149435
0.117099999450147,,1.0,0.16724557
0.0841666664928198,,5.0,0.07582983
0.106358332249026,,1.0,0.06990128
0.145383331303795,,3.0,0.13112321
0.115166666917503,,2.0,0.1460112
0.0660500003335377,,2.0,0.07794406
0.0587666666445633,,4.0,0.04079818
0.0675833340113362,,3.0,0.10605127
0.070891667312632,,2.0,0.18256038
0.0649583352108796,,4.0,0.09599509
0.0728782604893913,,2.0,0.08688522
0.154695834343632,,5.0,0.1299403
0.131325001517932,,4.0,0.09317271
0.143633332413932,,4.0,0.19793235
0.206187500307957,,3.0,0.17994516
0.241062498961886,,2.0,0.20466077
0.22088333281378,,5.0,0.17111503
0.197562501455347,,1.0,0.21098822
0.177966665476561,,5.0,0.14914206
0.242845833922426,,5.0,0.18166433
0.23287499944369,,4.0,0.21081188
0.229229166482886,,1.0,0.22364888
0.237483333796263,,4.0,0.22016498
0.241945832346876,,3.0,0.23887724
0.242478259231733,,5.0,0.20000511
0.256779165938497,,5.0,0.21023586
0.218833332881331,,4.0,0.21736482
0.230683331688245,,4.0,0.2330778
0.244704348237618,,4.0,0.2329587
0.222408333793283,,1.0,0.24050598
0.223058334241311,,4.0,0.2419667
0.203491665422916,,5.0,0.19629368
0.192875000958641,,4.0,0.23545796
0.170195833469431,,1.0,0.24744923
0.238833331192533,,5.0,0.2190821
0.227329166606069,,4.0,0.23043175
0.243562501544754,,2.0,0.22841693
0.25728749918441,,5.0,0.24391198
0.251429166644812,,3.0,0.23681991
0.248245834683379,,1.0,0.25443393
0.223137499764562,,4.0,0.24034974
0.238820834706227,,2.0,0.23781389
0.243708333621422,,4.0,0.2526814
0.270075000201662,,5.0,0.23692219
0.290516667068005,,2.0,0.25352916
