fold,observation,prediction
1.0,0.0152000000622744,0.002759978175163269
3.0,0.0153489012148354,0.009062796831130981
4.0,0.0151750000271325,0.00677645206451416
5.0,0.0153520834088946,0.005899474024772644
5.0,0.0150312499220793,0.00463288277387619
5.0,0.0154229166801087,0.01064465194940567
2.0,0.0153708333382382,0.00977027416229248
4.0,0.0146833333031585,0.008332744240760803
3.0,0.0146895832343337,0.007084950804710388
1.0,0.0147291667138537,0.0003236234188079834
5.0,0.0143041666791153,0.0057265907526016235
2.0,0.0151520833411874,0.013508103787899017
3.0,0.0151562500007761,0.008763402700424194
5.0,0.0596097590516141,0.05151304602622986
1.0,0.042356250109151,0.01783314347267151
3.0,0.0308187500728915,0.007880687713623047
1.0,0.0211062500020489,0.007958978414535522
4.0,0.0217354168804983,0.009492740035057068
3.0,0.129945000261068,0.13701336085796356
2.0,0.0580208337244887,0.04236748069524765
5.0,0.0403083333900819,0.03150460869073868
3.0,0.0721481606521486,0.006089240312576294
2.0,0.0701604170414308,0.02601596713066101
4.0,0.0614979165450979,0.012599363923072815
2.0,0.0494374998379499,0.042107127606868744
5.0,0.0448894928195986,0.056873198598623276
4.0,0.1123726718931225,0.0664643794298172
2.0,0.0990092107176518,0.08678674697875977
2.0,0.0844729168651004,0.10812268406152725
3.0,0.0795980551590522,0.0926862359046936
2.0,0.0546812501270324,0.0384041965007782
5.0,0.0438432596605636,0.05913125351071358
3.0,0.0543666670564562,0.046775124967098236
3.0,0.0691347823325953,0.05304769426584244
2.0,0.12261249901106,0.069806769490242
5.0,0.10357499991854,0.07850496470928192
4.0,0.147808333237966,0.13396838307380676
5.0,0.1475812497859195,0.15136727690696716
3.0,0.0918208342045545,0.06822101026773453
3.0,0.1389729164851205,0.15197256207466125
5.0,0.112679165477554,0.11015940457582474
4.0,0.0802666662881772,0.07664565742015839
1.0,0.120469565624776,0.14110329747200012
3.0,0.0737749990075827,0.07469187676906586
4.0,0.149760834065576,0.14602169394493103
1.0,0.1522270827554165,0.14930862188339233
4.0,0.1590833341081935,0.15076157450675964
3.0,0.175868750239412,0.1529061496257782
4.0,0.1489229168122015,0.157181978225708
2.0,0.159670832877358,0.14402659237384796
2.0,0.157095832750201,0.15332303941249847
4.0,0.132464582255731,0.13788962364196777
1.0,0.165772916438679,0.1626395285129547
3.0,0.1372083337046205,0.14157240092754364
2.0,0.1114291665144265,0.16595929861068726
3.0,0.1851615952327845,0.1552247256040573
1.0,0.1728812493383885,0.1574413776397705
3.0,0.1816916664441424,0.14972037076950073
3.0,0.2050229155903924,0.15137407183647156
4.0,0.1907604169100525,0.1545635610818863
1.0,0.190993478116782,0.14320442080497742
1.0,0.177299999942382,0.14435172080993652
5.0,0.135939583958437,0.14204850792884827
1.0,0.1935583328207329,0.1767318993806839
4.0,0.1602833330010374,0.19219499826431274
4.0,0.1930854159096875,0.17439201474189758
1.0,0.1763875015700854,0.1460839956998825
4.0,0.1624333330740535,0.15687841176986694
3.0,0.182618751190603,0.17698854207992554
1.0,0.1546854154827695,0.15289026498794556
4.0,0.1593687509497005,0.1617613434791565
1.0,0.1873916666954755,0.15266692638397217
1.0,0.1567229161349435,0.13521546125411987
4.0,0.198868751525879,0.15164625644683838
1.0,0.18680208393683,0.1562136709690094
1.0,0.154193751513958,0.1387481987476349
1.0,0.1639166676128905,0.14604803919792175
1.0,0.1725291670300065,0.15106134116649628
5.0,0.1522333337925375,0.12210103869438171
2.0,0.151968747843057,0.15601281821727753
1.0,0.1619729173059265,0.14915430545806885
1.0,0.1986479169378679,0.2645019292831421
5.0,0.1525645839671295,0.11684341728687286
5.0,0.1677750002903245,0.11682174354791641
3.0,0.176797915560504,0.13889403641223907
1.0,0.1422062502242623,0.1198095828294754
2.0,0.1995624996100865,0.17197518050670624
5.0,0.1617083330638705,0.11269445717334747
3.0,0.1521187499165535,0.10210590064525604
1.0,0.1704270830377935,0.15239781141281128
1.0,0.141893054669102,0.10914050042629242
4.0,0.1055680558395883,0.06431989371776581
2.0,0.0826020834501833,0.04592807590961456
1.0,0.0721937505683551,0.048467427492141724
2.0,0.0604124998984237,0.03836711496114731
3.0,0.0525770835423221,0.0441516637802124
1.0,0.0490083339003225,0.042579203844070435
4.0,0.0447458332249273,0.018325194716453552
3.0,0.0414937506429851,0.020558379590511322
5.0,0.0390437500706563,0.025577634572982788
2.0,0.0361583335325122,0.02310708910226822
2.0,0.0338229166033367,0.02999953180551529
5.0,0.0326291662252818,0.024241119623184204
3.0,0.0318749997531995,0.010451138019561768
5.0,0.0306708340067416,0.017519190907478333
5.0,0.0292062502509603,0.017985112965106964
3.0,0.0272166665721063,0.011331722140312195
1.0,0.0259604166494682,0.02034759521484375
3.0,0.0251583336309219,0.011029869318008423
1.0,0.0255185307673456,0.019702225923538208
